Package,Oldness
async-each,0
@babel_preset-react,0.02142857142857143
typedarray,0
https-proxy-agent,0.06521739130434782
istanbul-lib-instrument,0
flatted,0
@eslint_eslintrc,0
nan,0
util-deprecate,0
fresh,0
type,0
strip-bom,0
nopt,0.0
istanbul-lib-coverage,0
is-directory,0
util,0.008553862603581928
har-validator,0.05862140774677217
dashdash,0.0
file-loader,0.07498900568191437
errno,0.0
jsbn,0
ieee754,0
ajv-keywords,0.0
snapdragon-util,0.0
infer-owner,0
parent-module,0.14285714285714285
unicode-property-aliases-ecmascript,0
postcss-selector-parser,0.0
exit,0
p-map,0.0
@babel_plugin-transform-regenerator,0.010101010101010102
browserify-sign,0.007060572277963583
mute-stream,0
timers-browserify,0.0
react-dom,0.06714761376248612
ajv-errors,0
figgy-pudding,0
caller-path,0.15476190476190477
cli-boxes,0
spdx-correct,0.0
to-regex-range,0.0
regenerator-runtime,0
babel-jest,0
posix-character-classes,0
data-urls,0.06871008939974457
source-map-resolve,0.0
brorand,0
jest-runtime,0
cacache,0.04926268312967819
core-js-compat,0.02424916926249889
@babel_helper-create-regexp-features-plugin,0.0919006919006919
node-fetch,0.0405982905982906
builtin-status-codes,0
browserify-des,0.0
extend-shallow,0.30000000000000004
inflight,0.0
arrify,0
assert,0.007825874296894105
uuid,0
pako,0
jest-pnp-resolver,0
forever-agent,0
hash-base,0.0
content-disposition,0.2
is-symbol,0.0
browserify-aes,0.017241379310344827
is-wsl,0.125
jest-matcher-utils,0.05784599026105952
merge2,0
react,0.05882352941176471
stream-each,0.0
url-parse,0.0
@babel_helper-skip-transparent-expression-wrappers,0.14285714285714285
regexpp,0
unicode-match-property-value-ecmascript,0
jest-validate,0.06768473195076095
commondir,0
md5.js,0.0
global-modules,0.031800766283524906
@babel_plugin-transform-runtime,0
json-buffer,0
escape-html,0
@cyf1996..._cq-attribute-import,0
hash.js,0.0
has-unicode,0
js-yaml,0.0
p-finally,0
@xtuc_long,0
jest-haste-map,0.030755946253653688
uglify-js,0
p-cancelable,0
get-value,0.1
whatwg-mimetype,0
svgo,0.05304304319200482
xmlchars,0
decode-uri-component,0
@babel_plugin-transform-classes,0.07710402615577518
is-arguments,0.0
