Project,Rosette,Consistency,Minimize,DisallowCycles,Time,NDeps,Status
async-each,False,,,,1.9567956924438477,0,success
@babel_preset-react,False,,,,115.47225737571716,52,success
typedarray,False,,,,13.430946111679077,0,success
https-proxy-agent,False,,,,,0,ERESOLVE
istanbul-lib-instrument,False,,,,6.475274562835693,51,success
flatted,False,,,,183.30188131332397,0,success
@eslint_eslintrc,False,,,,5.288930892944336,28,success
nan,False,,,,361.80002450942993,0,success
util-deprecate,False,,,,1.6946499347686768,0,success
fresh,False,,,,442.5002508163452,0,success
type,False,,,,224.16074919700623,0,success
strip-bom,False,,,,367.7076163291931,0,success
nopt,False,,,,83.19177103042603,1,success
istanbul-lib-coverage,False,,,,76.07280492782593,0,success
is-directory,False,,,,56.09692072868347,0,success
util,False,,,,461.2745614051819,39,success
har-validator,False,,,,263.8863914012909,7,success
dashdash,False,,,,367.97555899620056,1,success
file-loader,False,,,,219.8746690750122,13,success
errno,False,,,,67.64665174484253,1,success
jsbn,False,,,,1.300238847732544,0,success
ieee754,False,,,,15.961312294006348,0,success
ajv-keywords,False,,,,565.4451725482941,1,success
snapdragon-util,False,,,,305.4456126689911,1,success
infer-owner,False,,,,498.8785672187805,0,success
parent-module,False,,,,279.0406651496887,1,success
unicode-property-aliases-ecmascript,False,,,,285.93084263801575,0,success
postcss-selector-parser,False,,,,487.54630851745605,2,success
exit,False,,,,,0,ETARGET
p-map,False,,,,597.2290346622467,4,success
@babel_plugin-transform-regenerator,False,,,,107.47298336029053,3,success
browserify-sign,False,,,,6.1702845096588135,30,success
mute-stream,False,,,,71.30808663368225,0,success
timers-browserify,False,,,,215.81841826438904,1,success
react-dom,False,,,,31.758307695388794,4,success
ajv-errors,False,,,,557.3509621620178,0,success
figgy-pudding,False,,,,180.48764848709106,0,success
caller-path,False,,,,543.2345893383026,2,success
cli-boxes,False,,,,255.16508316993713,0,success
spdx-correct,False,,,,474.82511472702026,3,success
to-regex-range,False,,,,294.77897238731384,1,success
regenerator-runtime,False,,,,1.7541720867156982,0,success
babel-jest,False,,,,,0,ETARGET
posix-character-classes,False,,,,49.11924767494202,0,success
data-urls,False,,,,473.2440860271454,6,success
source-map-resolve,False,,,,245.6826560497284,2,success
brorand,False,,,,27.641547679901123,0,success
jest-runtime,False,,,,,0,ETARGET
cacache,False,,,,,0,ETARGET
core-js-compat,False,,,,28.26131796836853,7,success
@babel_helper-create-regexp-features-plugin,False,,,,145.5916509628296,14,success
node-fetch,False,,,,568.7271361351013,4,success
builtin-status-codes,False,,,,388.91622734069824,0,success
browserify-des,False,,,,8.639843940734863,5,success
extend-shallow,False,,,,124.32920050621033,4,success
inflight,False,,,,67.51890468597412,2,success
