name,commit,solver,CVE,NDeps,Status,Time
docusign-node-client,423f93e,vanilla,105.8,52.0,success,
docusign-node-client,423f93e,audit fix,105.8,52.0,success,
docusign-node-client,423f93e,audit fix force,0.0,67.0,success,
docusign-node-client,423f93e,maxnpm_cve_oldness,94.90000000000002,50.0,success,
docusign-node-client,423f93e,maxnpm_cve_oldness_pip_else_npm,94.90000000000002,50.0,success,
ember-component-css,489f23f,vanilla,106.9,240.0,success,
ember-component-css,489f23f,audit fix,106.9,240.0,success,
ember-component-css,489f23f,audit fix force,0.0,372.0,success,
ember-component-css,489f23f,maxnpm_cve_oldness,,,missing,
ember-component-css,489f23f,maxnpm_cve_oldness_pip_else_npm,,,missing,
creevey,89ecb4b,vanilla,5.5,429.0,success,
creevey,89ecb4b,audit fix,5.5,429.0,success,
creevey,89ecb4b,audit fix force,0.0,418.0,success,
creevey,89ecb4b,maxnpm_cve_oldness,,,missing,
creevey,89ecb4b,maxnpm_cve_oldness_pip_else_npm,,,missing,
angular,2244c5c,vanilla,,,missing,
angular,2244c5c,audit fix,,,missing,
angular,2244c5c,audit fix force,,,missing,
angular,2244c5c,maxnpm_cve_oldness,,,missing,
angular,2244c5c,maxnpm_cve_oldness_pip_else_npm,,,missing,
hint,283f08e,vanilla,31.25,228.0,success,
hint,283f08e,audit fix,31.25,228.0,success,
hint,283f08e,audit fix force,0.0,273.0,success,
hint,283f08e,maxnpm_cve_oldness,,,missing,
hint,283f08e,maxnpm_cve_oldness_pip_else_npm,,,missing,
material-ui,f399256,vanilla,11.4,62.0,success,
material-ui,f399256,audit fix,11.4,62.0,success,
material-ui,f399256,audit fix force,0.0,44.0,success,
material-ui,f399256,maxnpm_cve_oldness,11.4,55.0,success,
material-ui,f399256,maxnpm_cve_oldness_pip_else_npm,11.4,55.0,success,
react-pdf,5f7dd8e,vanilla,0.0,68.0,success,
react-pdf,5f7dd8e,audit fix,0.0,68.0,success,
react-pdf,5f7dd8e,audit fix force,0.0,68.0,success,
react-pdf,5f7dd8e,maxnpm_cve_oldness,0.0,67.0,success,
react-pdf,5f7dd8e,maxnpm_cve_oldness_pip_else_npm,0.0,67.0,success,
grunt-prettify,d4769c7,vanilla,57.35000000000001,24.0,success,
grunt-prettify,d4769c7,audit fix,57.35000000000001,24.0,success,
grunt-prettify,d4769c7,audit fix force,0.0,36.0,success,
grunt-prettify,d4769c7,maxnpm_cve_oldness,57.35000000000001,24.0,success,
grunt-prettify,d4769c7,maxnpm_cve_oldness_pip_else_npm,57.35000000000001,24.0,success,
digibyte-js,bf87b30,vanilla,43.5,17.0,success,
digibyte-js,bf87b30,audit fix,43.5,17.0,success,
digibyte-js,bf87b30,audit fix force,0.0,19.0,success,
digibyte-js,bf87b30,maxnpm_cve_oldness,,,missing,
digibyte-js,bf87b30,maxnpm_cve_oldness_pip_else_npm,,,missing,
angular,4259945,vanilla,,,missing,
angular,4259945,audit fix,,,missing,
angular,4259945,audit fix force,,,missing,
angular,4259945,maxnpm_cve_oldness,,,missing,
