name,commit,solver,CVE,NDeps,Status,Time
generator-react,09b724e,vanilla,12.8,357.0,success,
generator-react,09b724e,audit fix,12.8,357.0,success,
generator-react,09b724e,audit fix force,0.0,157.0,success,
generator-react,09b724e,maxnpm_cve_oldness,,,missing,
generator-react,09b724e,maxnpm_cve_oldness_pip_else_npm,,,missing,
JsSIP,9cdeaa0,vanilla,17.45,8.0,success,
JsSIP,9cdeaa0,audit fix,17.45,8.0,success,
JsSIP,9cdeaa0,audit fix force,0.0,4.0,success,
JsSIP,9cdeaa0,maxnpm_cve_oldness,0.0,4.0,success,
JsSIP,9cdeaa0,maxnpm_cve_oldness_pip_else_npm,17.45,8.0,success,
umi-plugin-datahub,0a4a4f9,vanilla,33.1,673.0,success,
umi-plugin-datahub,0a4a4f9,audit fix,33.1,673.0,success,
umi-plugin-datahub,0a4a4f9,audit fix force,202.5,792.0,success,
umi-plugin-datahub,0a4a4f9,maxnpm_cve_oldness,,,missing,
umi-plugin-datahub,0a4a4f9,maxnpm_cve_oldness_pip_else_npm,,,missing,
postcss-assets-webpack-plugin,90b69bb,vanilla,0.0,14.0,success,
postcss-assets-webpack-plugin,90b69bb,audit fix,0.0,14.0,success,
postcss-assets-webpack-plugin,90b69bb,audit fix force,0.0,14.0,success,
postcss-assets-webpack-plugin,90b69bb,maxnpm_cve_oldness,0.0,14.0,success,
postcss-assets-webpack-plugin,90b69bb,maxnpm_cve_oldness_pip_else_npm,0.0,14.0,success,
accord,262e693,vanilla,0.0,47.0,success,
accord,262e693,audit fix,0.0,47.0,success,
accord,262e693,audit fix force,0.0,47.0,success,
accord,262e693,maxnpm_cve_oldness,0.0,46.0,success,
accord,262e693,maxnpm_cve_oldness_pip_else_npm,0.0,46.0,success,
asl-validator,88949ae,vanilla,0.0,22.0,success,
asl-validator,88949ae,audit fix,0.0,22.0,success,
asl-validator,88949ae,audit fix force,0.0,22.0,success,
asl-validator,88949ae,maxnpm_cve_oldness,0.0,22.0,success,
asl-validator,88949ae,maxnpm_cve_oldness_pip_else_npm,0.0,22.0,success,
lz,126e910,vanilla,0.0,46.0,success,
lz,126e910,audit fix,0.0,46.0,success,
lz,126e910,audit fix force,0.0,46.0,success,
lz,126e910,maxnpm_cve_oldness,0.0,45.0,success,
lz,126e910,maxnpm_cve_oldness_pip_else_npm,0.0,45.0,success,
microservice-call,33daf19,vanilla,0.0,63.0,success,
microservice-call,33daf19,audit fix,0.0,63.0,success,
microservice-call,33daf19,audit fix force,0.0,63.0,success,
microservice-call,33daf19,maxnpm_cve_oldness,0.0,63.0,success,
microservice-call,33daf19,maxnpm_cve_oldness_pip_else_npm,0.0,63.0,success,
WebSocket-Node,19108bb,vanilla,,,missing,
WebSocket-Node,19108bb,audit fix,,,missing,
WebSocket-Node,19108bb,audit fix force,,,missing,
WebSocket-Node,19108bb,maxnpm_cve_oldness,,,missing,
WebSocket-Node,19108bb,maxnpm_cve_oldness_pip_else_npm,2.0,6.0,success,
connect-mongo,663980a,vanilla,23.150000000000002,13.0,success,
connect-mongo,663980a,audit fix,23.150000000000002,13.0,success,
connect-mongo,663980a,audit fix force,0.0,21.0,success,
connect-mongo,663980a,maxnpm_cve_oldness,0.0,21.0,success,
connect-mongo,663980a,maxnpm_cve_oldness_pip_else_npm,23.150000000000002,6.0,success,
node-mailchimp,cbbab51,vanilla,0.0,55.0,success,
node-mailchimp,cbbab51,audit fix,0.0,55.0,success,
node-mailchimp,cbbab51,audit fix force,0.0,55.0,success,
node-mailchimp,cbbab51,maxnpm_cve_oldness,0.0,9.0,success,
node-mailchimp,cbbab51,maxnpm_cve_oldness_pip_else_npm,0.0,9.0,success,
cabin,9a3b169,vanilla,0.0,3.0,success,
cabin,9a3b169,audit fix,0.0,3.0,success,
cabin,9a3b169,audit fix force,0.0,3.0,success,
cabin,9a3b169,maxnpm_cve_oldness,0.0,3.0,success,
cabin,9a3b169,maxnpm_cve_oldness_pip_else_npm,0.0,3.0,success,
license-checker,315de0b,vanilla,0.0,62.0,success,
license-checker,315de0b,audit fix,0.0,62.0,success,
license-checker,315de0b,audit fix force,0.0,62.0,success,
license-checker,315de0b,maxnpm_cve_oldness,0.0,54.0,success,
license-checker,315de0b,maxnpm_cve_oldness_pip_else_npm,0.0,54.0,success,
stryker-js,1a5968c,vanilla,19.8,69.0,success,
stryker-js,1a5968c,audit fix,19.8,69.0,success,
stryker-js,1a5968c,audit fix force,0.0,72.0,success,
stryker-js,1a5968c,maxnpm_cve_oldness,,,missing,
stryker-js,1a5968c,maxnpm_cve_oldness_pip_else_npm,,,missing,
loopback-next,02ba54b,vanilla,0.0,3.0,success,
loopback-next,02ba54b,audit fix,0.0,3.0,success,
loopback-next,02ba54b,audit fix force,0.0,3.0,success,
loopback-next,02ba54b,maxnpm_cve_oldness,0.0,3.0,success,
loopback-next,02ba54b,maxnpm_cve_oldness_pip_else_npm,0.0,3.0,success,
bit,5be971e,vanilla,41.6,804.0,success,
bit,5be971e,audit fix,41.6,804.0,success,
bit,5be971e,audit fix force,415.09999999999997,955.0,success,
bit,5be971e,maxnpm_cve_oldness,,,missing,
bit,5be971e,maxnpm_cve_oldness_pip_else_npm,,,missing,
bullmq,0e0540e,vanilla,0.0,32.0,success,
bullmq,0e0540e,audit fix,0.0,32.0,success,
bullmq,0e0540e,audit fix force,0.0,32.0,success,
bullmq,0e0540e,maxnpm_cve_oldness,0.0,30.0,success,
bullmq,0e0540e,maxnpm_cve_oldness_pip_else_npm,0.0,30.0,success,
broccoli-filter,5763ad6,vanilla,7.5,33.0,success,
broccoli-filter,5763ad6,audit fix,7.5,33.0,success,
broccoli-filter,5763ad6,audit fix force,0.0,33.0,success,
broccoli-filter,5763ad6,maxnpm_cve_oldness,0.0,31.0,success,
broccoli-filter,5763ad6,maxnpm_cve_oldness_pip_else_npm,0.0,31.0,success,
loopback-datasource-juggler,393db58,vanilla,0.0,129.0,success,
loopback-datasource-juggler,393db58,audit fix,0.0,129.0,success,
loopback-datasource-juggler,393db58,audit fix force,0.0,129.0,success,
loopback-datasource-juggler,393db58,maxnpm_cve_oldness,,,missing,
loopback-datasource-juggler,393db58,maxnpm_cve_oldness_pip_else_npm,,,missing,
css-modules-typings-loader,478cf63,vanilla,0.0,3.0,success,
css-modules-typings-loader,478cf63,audit fix,0.0,3.0,success,
css-modules-typings-loader,478cf63,audit fix force,0.0,3.0,success,
css-modules-typings-loader,478cf63,maxnpm_cve_oldness,0.0,3.0,success,
css-modules-typings-loader,478cf63,maxnpm_cve_oldness_pip_else_npm,0.0,3.0,success,
kafka-node,6d58279,vanilla,0.0,31.0,success,
kafka-node,6d58279,audit fix,0.0,31.0,success,
kafka-node,6d58279,audit fix force,0.0,31.0,success,
kafka-node,6d58279,maxnpm_cve_oldness,0.0,29.0,success,
kafka-node,6d58279,maxnpm_cve_oldness_pip_else_npm,0.0,29.0,success,
broccoli-postcss-single,0a96a8b,vanilla,0.0,40.0,success,
broccoli-postcss-single,0a96a8b,audit fix,0.0,40.0,success,
broccoli-postcss-single,0a96a8b,audit fix force,0.0,40.0,success,
broccoli-postcss-single,0a96a8b,maxnpm_cve_oldness,0.0,38.0,success,
broccoli-postcss-single,0a96a8b,maxnpm_cve_oldness_pip_else_npm,0.0,38.0,success,
react-data-report,c483770,vanilla,,,missing,
react-data-report,c483770,audit fix,,,missing,
react-data-report,c483770,audit fix force,,,missing,
react-data-report,c483770,maxnpm_cve_oldness,,,missing,
react-data-report,c483770,maxnpm_cve_oldness_pip_else_npm,,,missing,
webapi-parser,197ff9d,vanilla,5.6,8.0,success,
webapi-parser,197ff9d,audit fix,5.6,8.0,success,
webapi-parser,197ff9d,audit fix force,5.6,8.0,success,
webapi-parser,197ff9d,maxnpm_cve_oldness,5.6,8.0,success,
webapi-parser,197ff9d,maxnpm_cve_oldness_pip_else_npm,5.6,8.0,success,
malagu,0edc93b,vanilla,0.0,270.0,success,
malagu,0edc93b,audit fix,0.0,270.0,success,
malagu,0edc93b,audit fix force,0.0,270.0,success,
malagu,0edc93b,maxnpm_cve_oldness,,,missing,
malagu,0edc93b,maxnpm_cve_oldness_pip_else_npm,0.0,242.0,success,
iconfont-webpack-plugin,14b6bc0,vanilla,13.8,49.0,success,
iconfont-webpack-plugin,14b6bc0,audit fix,13.8,49.0,success,
iconfont-webpack-plugin,14b6bc0,audit fix force,0.0,42.0,success,
iconfont-webpack-plugin,14b6bc0,maxnpm_cve_oldness,,,missing,
iconfont-webpack-plugin,14b6bc0,maxnpm_cve_oldness_pip_else_npm,,,missing,
cnn-health,99c668a,vanilla,13.4,10.0,success,
cnn-health,99c668a,audit fix,13.4,10.0,success,
cnn-health,99c668a,audit fix force,0.0,10.0,success,
cnn-health,99c668a,maxnpm_cve_oldness,0.0,10.0,success,
cnn-health,99c668a,maxnpm_cve_oldness_pip_else_npm,13.4,9.0,success,
frisbee,dab1175,vanilla,5.45,30.0,success,
frisbee,dab1175,audit fix,5.45,30.0,success,
frisbee,dab1175,audit fix force,5.45,30.0,success,
frisbee,dab1175,maxnpm_cve_oldness,5.45,30.0,success,
frisbee,dab1175,maxnpm_cve_oldness_pip_else_npm,5.45,30.0,success,
postcss-modules-resolve-path,9436aba,vanilla,5.3,6.0,success,
postcss-modules-resolve-path,9436aba,audit fix,5.3,6.0,success,
postcss-modules-resolve-path,9436aba,audit fix force,0.0,4.0,success,
postcss-modules-resolve-path,9436aba,maxnpm_cve_oldness,0.0,4.0,success,
