Project,Rosette,AuditFix,Consistency,Minimize,DisallowCycles,Time,NDeps,CVE,Status
source-map-support,False,no,,,,462.0890691280365,2,0,success
unpipe,False,no,,,,111.66080784797668,0,0,success
to-fast-properties,False,no,,,,332.60662722587585,0,0,success
domutils,False,no,,,,273.66054463386536,4,0,success
inquirer,False,no,,,,124.74621438980103,50,0,success
is-arguments,False,no,,,,406.2710974216461,6,0,success
brorand,False,no,,,,27.641547679901123,0,0,success
loader-utils,False,no,,,,5.30012845993042,3,0,success
ansi-colors,False,no,,,,490.2387912273407,0,0,success
is-installed-globally,False,no,,,,10.712074041366577,3,0,success
use,False,no,,,,431.9762418270111,0,0,success
jsdom,False,no,,,,,0,0,EUNSUPPORTEDPROTOCOL
promise,False,no,,,,238.71933102607727,1,0,success
jsprim,False,no,,,,6.903052806854248,5,0,success
csso,False,no,,,,405.17538261413574,3,0,success
semver,False,no,,,,429.5619204044342,2,0,success
@babel_plugin-transform-react-display-name,False,no,,,,99.34399962425232,1,0,success
@webassemblyjs_helper-api-error,False,no,,,,4.867502927780151,0,0,success
read-pkg-up,False,no,,,,579.6510367393494,39,0,success
eslint-plugin-import,False,no,,,,289.7540943622589,82,0,success
es6-symbol,False,no,,,,170.2575330734253,8,0,success
get-caller-file,False,no,,,,41.15086317062378,0,0,success
yaml,False,no,,,,385.1806266307831,0,0,success
http-parser-js,False,no,,,,2.1254360675811768,0,0,success
encodeurl,False,no,,,,216.28948187828064,0,0,success
@babel_plugin-syntax-jsx,False,no,,,,148.4690227508545,1,0,success
decode-uri-component,False,no,,,,542.4833846092224,0,0,success
body-parser,False,no,,,,542.1085224151611,21,0,success
base,False,no,,,,483.1998345851898,36,0,success
@babel_traverse,False,no,,,,223.41592931747437,24,0,success
cookie-signature,False,no,,,,226.6453776359558,0,0,success
@webassemblyjs_helper-code-frame,False,no,,,,37.79788565635681,7,0,success
@babel_core,False,no,,,,189.84182786941528,49,0,success
bl,False,no,,,,10.458255767822266,8,0,success
path-exists,False,no,,,,526.0910861492157,0,0,success
@jest_core,False,no,,,,,0,0,ETARGET
@webassemblyjs_ieee754,False,no,,,,7.3564653396606445,1,0,success
@jest_reporters,False,no,,,,,0,0,ETARGET
mime-types,False,no,,,,380.37769508361816,1,0,success
pirates,False,no,,,,559.8125879764557,1,0,success
